news_headline,news_article,news_category,full_text,clean_text
Neymar gets Spiderman and Batman tattooed on his back,"World's most expensive footballer Neymar has got the images of superhero characters Spiderman and Batman tattooed on his back. The artist who inked the tattoos on the Brazilian forward's back shared a picture on Instagram, writing, ""As everyone knows Neymar is a fan of the characters Spiderman and Batman...Today I had the pleasure of tattooing this art on his skin!!!""",sports,"Neymar gets Spiderman and Batman tattooed on his back. World's most expensive footballer Neymar has got the images of superhero characters Spiderman and Batman tattooed on his back. The artist who inked the tattoos on the Brazilian forward's back shared a picture on Instagram, writing, ""As everyone knows Neymar is a fan of the characters Spiderman and Batman...Today I had the pleasure of tattooing this art on his skin!!!""",neymar get spiderman batman tattooed back world expensive footballer neymar get image superhero character spiderman batman tattooed back artist ink tattoo brazilian forwards back share picture instagram writing everyone know neymar fan character spiderman batman today pleasure tattooing art skin
BCCI CEO accused of asking for sexual favours earlier this year,"After being accused of sexual harassment by a former colleague earlier this month, BCCI CEO Rahul Johri has been accused of asking for sexual favours earlier this year by an unnamed woman. The woman has reportedly written a letter to CoA member Diana Edulji revealing her ordeal. Former Mumbai captain Shishir Hattangadi has stated he's ready to testify against Johri.",sports,"BCCI CEO accused of asking for sexual favours earlier this year. After being accused of sexual harassment by a former colleague earlier this month, BCCI CEO Rahul Johri has been accused of asking for sexual favours earlier this year by an unnamed woman. The woman has reportedly written a letter to CoA member Diana Edulji revealing her ordeal. Former Mumbai captain Shishir Hattangadi has stated he's ready to testify against Johri.",bcci ceo accuse ask sexual favour earlier year accuse sexual harassment former colleague earlier month bcci ceo rahul johri accuse ask sexual favour earlier year unnamed woman woman reportedly write letter coa member diana edulji reveal ordeal former mumbai captain shishir hattangadi state ready testify johri
"College gymnastics coach, teen gymnast arrested for public sex","Scott Vetere, the University of Michigan assistant gymnastics coach, has resigned after being arrested for allegedly having public sex in a car with an 18-year-old team member near the university's training facilities. Police had approached the vehicle at around 9 am on October 8 and found the 39-year-old and the female student naked and engaged in sexual activity.  ",sports,"College gymnastics coach, teen gymnast arrested for public sex. Scott Vetere, the University of Michigan assistant gymnastics coach, has resigned after being arrested for allegedly having public sex in a car with an 18-year-old team member near the university's training facilities. Police had approached the vehicle at around 9 am on October 8 and found the 39-year-old and the female student naked and engaged in sexual activity.  ",college gymnastic coach teen gymnast arrest public sex scott vetere university michigan assistant gymnastic coach resign arrest allegedly public sex car year old team member near universitys training facility police approach vehicle around october find year old female student naked engage sexual activity
"Forced India to bring back Bumrah, Bhuvneshwar: Windies coach","Stuart Law, the Windies team coach, has said that their side's batting has caused the Indian team to bring back pacers Jasprit Bumrah and Bhuvneshwar Kumar for the last three ODIs of the series. ""[H]opefully we are getting the Indians to ask questions to themselves. They are giving us plenty of questions to ask ourselves,"" Law added.",sports,"Forced India to bring back Bumrah, Bhuvneshwar: Windies coach. Stuart Law, the Windies team coach, has said that their side's batting has caused the Indian team to bring back pacers Jasprit Bumrah and Bhuvneshwar Kumar for the last three ODIs of the series. ""[H]opefully we are getting the Indians to ask questions to themselves. They are giving us plenty of questions to ask ourselves,"" Law added.",force india bring back bumrah bhuvneshwar windie coach stuart law windie team coach say side batting cause indian team bring back pacer jasprit bumrah bhuvneshwar kumar last three odi series [ h ] opefully get indian ask question give us plenty question ask law add
24-yr-old 1st female Indian wrestler in 6 yrs to win WC medal,"India's 24-year-old Pooja Dhanda became the first Indian female wrestler in six years to win a medal at the Wrestling World Championships. Dhanda, who secured a bronze medal at the event, had earlier won the silver medal at the Commonwealth Games 2018 in Australia. ""It's a very proud moment for my country,"" Dhanda later said.",sports,"24-yr-old 1st female Indian wrestler in 6 yrs to win WC medal. India's 24-year-old Pooja Dhanda became the first Indian female wrestler in six years to win a medal at the Wrestling World Championships. Dhanda, who secured a bronze medal at the event, had earlier won the silver medal at the Commonwealth Games 2018 in Australia. ""It's a very proud moment for my country,"" Dhanda later said.",yr old st female indian wrestler yrs win wc medal indias year old pooja dhanda become first indian female wrestler six year win medal wrestling world championship dhanda secure bronze medal event earlier win silver medal commonwealth game australia proud moment country dhanda later say
Might get opportunity in next series: U-19 WC-winner S Gill,"Shubman Gill, who was the second-highest run-scorer at the 2018 Under-19 World Cup, said, ""I am ready. I did not get the opportunity against Windies but I might get one in the next series."" Punjab's Gill scored 418 runs in seven innings of the Vijay Hazare Trophy alongside his 187 runs for India A in four matches against England.",sports,"Might get opportunity in next series: U-19 WC-winner S Gill. Shubman Gill, who was the second-highest run-scorer at the 2018 Under-19 World Cup, said, ""I am ready. I did not get the opportunity against Windies but I might get one in the next series."" Punjab's Gill scored 418 runs in seven innings of the Vijay Hazare Trophy alongside his 187 runs for India A in four matches against England.",may get opportunity next series u wc winner gill shubman gill second high run scorer world cup say ready not get opportunity windie may get one next series punjab gill score run seven inning vijay hazare trophy alongside run india four match england
Won't use ball-tampering scandal to sledge Aussies: SA captain,"South Africa's captain Faf du Plessis has said that the South African team will not use the ball-tampering scandal to sledge the Australian cricket team in their upcoming series against them. ""I don't think us as a team would go there,"" du Plessis told reporters in Perth after the team arrived for the series, which starts next month.",sports,"Won't use ball-tampering scandal to sledge Aussies: SA captain. South Africa's captain Faf du Plessis has said that the South African team will not use the ball-tampering scandal to sledge the Australian cricket team in their upcoming series against them. ""I don't think us as a team would go there,"" du Plessis told reporters in Perth after the team arrived for the series, which starts next month.",not use ball tamper scandal sledge aussie sa captain south africas captain faf du plessis say south african team not use ball tamper scandal sledge australian cricket team upcoming series not think us team would go du plessis tell reporter perth team arrive series start next month
Sachin lights 108 diyas in a monastery in Bhutan,"Former Indian cricketer Sachin Tendulkar and his wife Anjali lit 108 diyas in a monastery in Bhutan during his recent visit to the nation. ""Got to spend some time at this beautiful monastery in Bhutan. Lit a 108 diyas, enjoyed spending time with the monks, and just soaked in the vibrations of the prayers. Bliss. #BhutanDiaries,"" Sachin tweeted.",sports,"Sachin lights 108 diyas in a monastery in Bhutan. Former Indian cricketer Sachin Tendulkar and his wife Anjali lit 108 diyas in a monastery in Bhutan during his recent visit to the nation. ""Got to spend some time at this beautiful monastery in Bhutan. Lit a 108 diyas, enjoyed spending time with the monks, and just soaked in the vibrations of the prayers. Bliss. #BhutanDiaries,"" Sachin tweeted.",sachin light diya monastery bhutan former indian cricketer sachin tendulkar wife anjali light diya monastery bhutan recent visit nation get spend time beautiful monastery bhutan light diya enjoy spending time monk soak vibration prayer bliss bhutandiarie sachin tweet
It is not easy being Virat Kohli: Harbhajan Singh,"Speaking about Indian captain Virat Kohli, spinner Harbhajan Singh said, ""It is not easy being Virat Kohli. He is one guy who takes the load on his shoulder."" ""My salute to this guy. The way he goes about his business, every time he walks out on the field with all the expectations from him. He is just unbelievable,"" Harbhajan added.",sports,"It is not easy being Virat Kohli: Harbhajan Singh. Speaking about Indian captain Virat Kohli, spinner Harbhajan Singh said, ""It is not easy being Virat Kohli. He is one guy who takes the load on his shoulder."" ""My salute to this guy. The way he goes about his business, every time he walks out on the field with all the expectations from him. He is just unbelievable,"" Harbhajan added.",not easy virat kohli harbhajan singh speak indian captain virat kohli spinner harbhajan singh say not easy virat kohli one guy take load shoulder salute guy way go business every time walk field expectation unbelievable harbhajan add
Did not pick Jadhav because of his fitness history: Chief Selector,"The Indian cricket team’s chief selector MSK Prasad has said that the reason behind Kedar Jadhav not being picked in the India squad for the remaining three ODIs against the Windies is his fitness history. Jadhav had said he did not know the reason for not being selected, and that there was no communication over his exclusion from the team.",sports,"Did not pick Jadhav because of his fitness history: Chief Selector. The Indian cricket team’s chief selector MSK Prasad has said that the reason behind Kedar Jadhav not being picked in the India squad for the remaining three ODIs against the Windies is his fitness history. Jadhav had said he did not know the reason for not being selected, and that there was no communication over his exclusion from the team.",not pick jadhav fitness history chief selector indian cricket team chief selector msk prasad say reason behind kedar jadhav not pick india squad remain three odi windie fitness history jadhav say not know reason not select no communication exclusion team
Ball-tampering a serious WTF moment: Outgoing Aus board chief,"James Sutherland, the outgoing chief executive of Cricket Australia (CA), has described hearing about the ball-tampering scandal that occurred during the Cape Town Test in March as a ""serious WTF moment"". Sutherland said he had switched off the television broadcast of the third Test between Australia and South Africa and also missed former captain Steve Smith's press conference.",sports,"Ball-tampering a serious WTF moment: Outgoing Aus board chief. James Sutherland, the outgoing chief executive of Cricket Australia (CA), has described hearing about the ball-tampering scandal that occurred during the Cape Town Test in March as a ""serious WTF moment"". Sutherland said he had switched off the television broadcast of the third Test between Australia and South Africa and also missed former captain Steve Smith's press conference.",ball tamper serious wtf moment outgoing aus board chief james sutherland outgoing chief executive cricket australia ca describe hearing ball tamper scandal occur cape town test march serious wtf moment sutherland say switch television broadcast third test australia south africa also miss former captain steve smith press conference
Michael Jordan joins $26mn funding in esports startup,"NBA legend and billionaire Michael Jordan has invested in an esports startup aXiomatic as part of a $26 million Series C funding round. Existing investors and Declaration Capital also participated. Founded in 2015, aXiomatic offers esports experiences that involve professional video-game players competing for prize money in front of an audience. ",sports,"Michael Jordan joins $26mn funding in esports startup. NBA legend and billionaire Michael Jordan has invested in an esports startup aXiomatic as part of a $26 million Series C funding round. Existing investors and Declaration Capital also participated. Founded in 2015, aXiomatic offers esports experiences that involve professional video-game players competing for prize money in front of an audience. ",michael jordan join mn funding esport startup nba legend billionaire michael jordan invest esport startup axiomatic part million series c funding round exist investor declaration capital also participate found axiomatic offer esport experience involve professional video game player compete prize money front audience
Have history with Afridi but appreciate his gesture: Gambhir,"Indian cricketer Gautam Gambhir took to Twitter to appreciate the gestures and condolences paid by former Pakistani cricketers Shahid Afridi and Shoaib Akhtar after the train mishap in Amritsar. ""While there may be history between me and @SAfridiOfficial but I really appreciate his gesture of expressing grief for d families of Amritsar train accident victims,"" Gambhir wrote.",sports,"Have history with Afridi but appreciate his gesture: Gambhir. Indian cricketer Gautam Gambhir took to Twitter to appreciate the gestures and condolences paid by former Pakistani cricketers Shahid Afridi and Shoaib Akhtar after the train mishap in Amritsar. ""While there may be history between me and @SAfridiOfficial but I really appreciate his gesture of expressing grief for d families of Amritsar train accident victims,"" Gambhir wrote.",history afridi appreciate gesture gambhir indian cricketer gautam gambhir take twitter appreciate gesture condolence pay former pakistani cricketer shahid afridi shoaib akhtar train mishap amritsar may history safridiofficial really appreciate gesture express grief family amritsar train accident victim gambhir write
Salah swaps Liverpool shirt for a box of chocolates from fan,"Liverpool forward Mohamed Salah exchanged his club jersey for a box of chocolates from a fan after his side’s Champions League win over Red Star Belgrade. After the final whistle, Salah ran over to a supporter who was wearing a hijab and waving a sign in Arabic that read, “I’ve come from Egypt for you”.",sports,"Salah swaps Liverpool shirt for a box of chocolates from fan. Liverpool forward Mohamed Salah exchanged his club jersey for a box of chocolates from a fan after his side’s Champions League win over Red Star Belgrade. After the final whistle, Salah ran over to a supporter who was wearing a hijab and waving a sign in Arabic that read, “I’ve come from Egypt for you”.",salah swap liverpool shirt box chocolate fan liverpool forward mohamed salah exchange club jersey box chocolate fan side champion league win red star belgrade final whistle salah run supporter wear hijab wave sign arabic read come egypt
"Man suspected of sending bombs to Barack Obama, Hillary Clinton arrested",The man suspected of mailing at least 14 pipe bombs to 11 individuals including former US President Barack Obama and former US State Secretary Hillary Clinton was arrested on Friday. Cesar Sayoc from Florida has been charged with five felony counts. The bombs were sent through the US Postal Service system and intercepted before reaching their intended targets without exploding.,world,"Man suspected of sending bombs to Barack Obama, Hillary Clinton arrested. The man suspected of mailing at least 14 pipe bombs to 11 individuals including former US President Barack Obama and former US State Secretary Hillary Clinton was arrested on Friday. Cesar Sayoc from Florida has been charged with five felony counts. The bombs were sent through the US Postal Service system and intercepted before reaching their intended targets without exploding.",man suspect send bomb barack obama hillary clinton arrest man suspect mail least pipe bomb individual include former us president barack obama former us state secretary hillary clinton arrest friday cesar sayoc florida charge five felony count bomb send us postal service system intercept reach intend target without explode
"Bombs sent to ex-US Vice Prez Joe Biden, actor Robert De Niro","Packages containing bombs were sent to former US Vice President Joe Biden and Hollywood actor Robert De Niro, officials said. Similar packages were also sent to prominent Democratic politicians. Explosive devices were earlier mailed to former US President Barack Obama, ex-State Secretary Hillary Clinton as well as to John Brennan, the former director of the US' intelligence agency CIA.",world,"Bombs sent to ex-US Vice Prez Joe Biden, actor Robert De Niro. Packages containing bombs were sent to former US Vice President Joe Biden and Hollywood actor Robert De Niro, officials said. Similar packages were also sent to prominent Democratic politicians. Explosive devices were earlier mailed to former US President Barack Obama, ex-State Secretary Hillary Clinton as well as to John Brennan, the former director of the US' intelligence agency CIA.",bomb send ex us vice prez joe biden actor robert de niro package contain bomb send former us vice president joe biden hollywood actor robert de niro official say similar package also send prominent democratic politician explosive device earlier mail former us president barack obama ex state secretary hillary clinton well john brennan former director us intelligence agency cia
Trump should swap iPhone for Huawei: China amid spying report,"China's Foreign Ministry has suggested that US President Donald Trump should swap his Apple iPhone for a Huawei mobile, as it denied a report claiming that China was spying on his private calls. Notably, US intelligence agencies have warned citizens to not buy smartphones made by Huawei, saying the devices could be used by China to spy on them.",world,"Trump should swap iPhone for Huawei: China amid spying report. China's Foreign Ministry has suggested that US President Donald Trump should swap his Apple iPhone for a Huawei mobile, as it denied a report claiming that China was spying on his private calls. Notably, US intelligence agencies have warned citizens to not buy smartphones made by Huawei, saying the devices could be used by China to spy on them.",trump swap iphone huawei china amid spy report chinas foreign ministry suggest us president donald trump swap apple iphone huawei mobile deny report claim china spy private call notably us intelligence agency warn citizen not buy smartphone make huawei say device could use china spy
"Hafiz Saeed's JuD, FIF no longer on list of banned outfits in Pak",Pakistan has removed 26/11 Mumbai attack mastermind Hafiz Saeed-led Jamaat-ud-Dawah and Falah-e-Insaniat Foundation from its list of banned outfits. This comes after an ordinance by former Pakistan President Mamnoon Hussain that prohibited them under a UN resolution lapsed. Saeed's counsel said the current government did not extend the ordinance or table it in parliament to convert it into an act.,world,"Hafiz Saeed's JuD, FIF no longer on list of banned outfits in Pak. Pakistan has removed 26/11 Mumbai attack mastermind Hafiz Saeed-led Jamaat-ud-Dawah and Falah-e-Insaniat Foundation from its list of banned outfits. This comes after an ordinance by former Pakistan President Mamnoon Hussain that prohibited them under a UN resolution lapsed. Saeed's counsel said the current government did not extend the ordinance or table it in parliament to convert it into an act.",hafiz saeed jud fif no longer list ban outfit pak pakistan remove mumbai attack mastermind hafiz saeed lead jamaat ud dawah falah e insaniat foundation list ban outfit come ordinance former pakistan president mamnoon hussain prohibit un resolution lapse saeed counsel say current government not extend ordinance table parliament convert act
Murdered Saudi journo's fiancée declines invitation from Trump,"The fiancée of murdered Saudi journalist Jamal Khashoggi, Hatice Cengiz, has declined an invitation from US President Donald Trump, accusing him of not being sincere about investigating the killing. Cengiz said Trump invitation was aimed at influencing public opinion in his own favour. Khashoggi, a Saudi government critic, was killed at the kingdom's consulate in Istanbul on October 2.",world,"Murdered Saudi journo's fiancée declines invitation from Trump. The fiancée of murdered Saudi journalist Jamal Khashoggi, Hatice Cengiz, has declined an invitation from US President Donald Trump, accusing him of not being sincere about investigating the killing. Cengiz said Trump invitation was aimed at influencing public opinion in his own favour. Khashoggi, a Saudi government critic, was killed at the kingdom's consulate in Istanbul on October 2.",murder saudi journo fiancee decline invitation trump fiancee murder saudi journalist jamal khashoggi hatice cengiz decline invitation us president donald trump accuse not sincere investigate killing cengiz say trump invitation aim influence public opinion favour khashoggi saudi government critic kill kingdom consulate istanbul october
Ethiopia elects its first female President,"The Ethiopian parliament on Thursday elected 68-year-old Sahle-Work Zewde as the country's first female President. A veteran diplomat, Zewde is currently the UN Under-Secretary-General and Special Representative of the Secretary-General to the African Union. Zewde has become the only female head of state in Africa following her appointment to the ceremonial post of the President.",world,"Ethiopia elects its first female President. The Ethiopian parliament on Thursday elected 68-year-old Sahle-Work Zewde as the country's first female President. A veteran diplomat, Zewde is currently the UN Under-Secretary-General and Special Representative of the Secretary-General to the African Union. Zewde has become the only female head of state in Africa following her appointment to the ceremonial post of the President.",ethiopia elect first female president ethiopian parliament thursday elect year old sahle work zewde country first female president veteran diplomat zewde currently un secretary general special representative secretary general african union zewde become female head state africa follow appointment ceremonial post president
Trump's charity bought his portrait in 2014 as 'no one else bid',"Donald Trump's charitable foundation paid $10,000 for a portrait of the US President at a 2014 auction after no other bids were received, according to an attorney for Trump. He said when Trump's charitable foundation placed the bid, it was intended to ""get the bidding started"", adding that the foundation was ""stuck with the painting"" as ""no one else bid"".",world,"Trump's charity bought his portrait in 2014 as 'no one else bid'. Donald Trump's charitable foundation paid $10,000 for a portrait of the US President at a 2014 auction after no other bids were received, according to an attorney for Trump. He said when Trump's charitable foundation placed the bid, it was intended to ""get the bidding started"", adding that the foundation was ""stuck with the painting"" as ""no one else bid"".",trump charity buy portrait no one else bid donald trump charitable foundation pay portrait us president auction no bid receive accord attorney trump say trump charitable foundation place bid intend get bidding start add foundation stick painting no one else bid
China spying on Trump's iPhone that he leaves in golf cart: Obama,"Mocking US President Donald Trump, former President Barack Obama said, ""China is spying on Trump's iPhone which he leaves in his golf cart."" Last year, Trump reportedly left his iPhone in a golf cart at his golf course in New Jersey. Earlier, China suggested that the US President should swap his iPhone for a Huawei mobile.",world,"China spying on Trump's iPhone that he leaves in golf cart: Obama. Mocking US President Donald Trump, former President Barack Obama said, ""China is spying on Trump's iPhone which he leaves in his golf cart."" Last year, Trump reportedly left his iPhone in a golf cart at his golf course in New Jersey. Earlier, China suggested that the US President should swap his iPhone for a Huawei mobile.",china spy trump iphone leave golf cart obama mock us president donald trump former president barack obama say china spy trump iphone leave golf cart last year trump reportedly leave iphone golf cart golf course new jersey earlier china suggest us president swap iphone huawei mobile
Philippine Prez sacks all top customs officials over drugs,"Philippine President Rodrigo Duterte, whose war on drugs has killed over 4,000 people, has fired the Bureau of Customs' head and ordered all top bureau officials replaced after the agency failed to intercept over a ton of drugs. The previous head of the bureau was removed in May 2017, after a huge amount of drugs were smuggled into the country.",world,"Philippine Prez sacks all top customs officials over drugs. Philippine President Rodrigo Duterte, whose war on drugs has killed over 4,000 people, has fired the Bureau of Customs' head and ordered all top bureau officials replaced after the agency failed to intercept over a ton of drugs. The previous head of the bureau was removed in May 2017, after a huge amount of drugs were smuggled into the country.",philippine prez sack top custom official drug philippine president rodrigo duterte whose war drug kill people fire bureau custom head order top bureau official replace agency fail intercept ton drug previous head bureau remove may huge amount drug smuggle country
"Sri Lanka Prez sacks PM, replaces him with ex-Prez Rajapaksa","Sri Lankan President Maithripala Sirisena on Friday sacked Prime Minister Ranil Wickremesinghe and replaced him with former President Mahinda Rajapaksa. Sirisena sacked Wickremesinghe following months of tension between the two leaders that led to a political crisis. This came as Sirisena's United People's Freedom Alliance withdrew from the coalition government, the local media reported.",world,"Sri Lanka Prez sacks PM, replaces him with ex-Prez Rajapaksa. Sri Lankan President Maithripala Sirisena on Friday sacked Prime Minister Ranil Wickremesinghe and replaced him with former President Mahinda Rajapaksa. Sirisena sacked Wickremesinghe following months of tension between the two leaders that led to a political crisis. This came as Sirisena's United People's Freedom Alliance withdrew from the coalition government, the local media reported.",sri lanka prez sack pm replace ex prez rajapaksa sri lankan president maithripala sirisena friday sack prime minister ranil wickremesinghe replace former president mahinda rajapaksa sirisena sack wickremesinghe follow month tension two leader lead political crisis come sirisenas united people freedom alliance withdraw coalition government local medium report
Pakistan releases Afghan Taliban co-founder Mullah Baradar,"Pakistan has released Mullah Abdul Ghani Baradar, one of the co-founders of the Afghan Taliban, the militant group said. Baradar was the second-in-command of the Afghan Taliban and coordinated the militant group's operations in southern Afghanistan. His release comes amid peace talks between the US and the Taliban to end the 17-year-old war in Afghanistan.",world,"Pakistan releases Afghan Taliban co-founder Mullah Baradar. Pakistan has released Mullah Abdul Ghani Baradar, one of the co-founders of the Afghan Taliban, the militant group said. Baradar was the second-in-command of the Afghan Taliban and coordinated the militant group's operations in southern Afghanistan. His release comes amid peace talks between the US and the Taliban to end the 17-year-old war in Afghanistan.",pakistan release afghan taliban co founder mullah baradar pakistan release mullah abdul ghani baradar one co founder afghan taliban militant group say baradar second command afghan taliban coordinate militant group operation southern afghanistan release come amid peace talk us taliban end year old war afghanistan
Wasn't allowed to scratch head as it made noise: Released journo,"Japanese journalist Jumpei Yasuda, who was released by Islamist militants after three years in captivity, has revealed he could not scratch his head as he wasn't allowed to make noise. ""Because I couldn't wash my hair, my head itched,"" he said. Yasuda added that he was confined for eight months to a space 1.5 metres high and 1 metre wide.",world,"Wasn't allowed to scratch head as it made noise: Released journo. Japanese journalist Jumpei Yasuda, who was released by Islamist militants after three years in captivity, has revealed he could not scratch his head as he wasn't allowed to make noise. ""Because I couldn't wash my hair, my head itched,"" he said. Yasuda added that he was confined for eight months to a space 1.5 metres high and 1 metre wide.",not allow scratch head make noise release journo japanese journalist jumpei yasuda release islamist militant three year captivity reveal could not scratch head not allow make noise could not wash hair head itch say yasuda add confine eight month space metre high metre wide
Saudi Arabia admits journalist's murder was premeditated,"Saudi Arabia's public prosecutor has said that dissident journalist Jamal Khashoggi's murder was premeditated, the state media reported. The claim followed a joint investigation by Saudi Arabia and Turkey. The Kingdom had initially denied any knowledge about Khashoggi's whereabouts and had since said that he was accidentally killed inside its consulate in Istanbul in a fist fight with officials.",world,"Saudi Arabia admits journalist's murder was premeditated. Saudi Arabia's public prosecutor has said that dissident journalist Jamal Khashoggi's murder was premeditated, the state media reported. The claim followed a joint investigation by Saudi Arabia and Turkey. The Kingdom had initially denied any knowledge about Khashoggi's whereabouts and had since said that he was accidentally killed inside its consulate in Istanbul in a fist fight with officials.",saudi arabia admit journalist murder premeditate saudi arabias public prosecutor say dissident journalist jamal khashoggis murder premeditate state medium report claim follow joint investigation saudi arabia turkey kingdom initially deny knowledge khashoggis whereabout since say accidentally kill inside consulate istanbul fist fight official
"Women plunge into sinkhole, escape with minor injuries","A video of two Turkish women plunging into a sinkhole in the Turkish city of Diyarbakir has surfaced online. The women, who were pulled from the debris by passersby, escaped with minor injuries. Authorities cordoned off the area after the collapse and an investigation into the incident has been launched.",world,"Women plunge into sinkhole, escape with minor injuries. A video of two Turkish women plunging into a sinkhole in the Turkish city of Diyarbakir has surfaced online. The women, who were pulled from the debris by passersby, escaped with minor injuries. Authorities cordoned off the area after the collapse and an investigation into the incident has been launched.",woman plunge sinkhole escape minor injury video two turkish woman plunge sinkhole turkish city diyarbakir surface online woman pull debris passersby escape minor injury authority cordon area collapse investigation incident launch
UK opens all military roles for women,"Women in the UK will now be able to apply for all roles in the military, Defence Secretary Gavin Williamson said. Women will now be able to apply to join the special forces units including the SAS and the SBS. ""(F)or the first time in history, our armed forces will be determined by ability alone and not gender"", Williamson added.",world,"UK opens all military roles for women. Women in the UK will now be able to apply for all roles in the military, Defence Secretary Gavin Williamson said. Women will now be able to apply to join the special forces units including the SAS and the SBS. ""(F)or the first time in history, our armed forces will be determined by ability alone and not gender"", Williamson added.",uk open military role woman woman uk able apply role military defence secretary gavin williamson say woman able apply join special force unit include sa sbs f first time history armed force determine ability alone not gender williamson add
Woman stabs 14 kids at Chinese kindergarten,A woman on Friday stabbed 14 children with a kitchen knife at the gate of a kindergarten in China's southwestern city of Chongqing. The attack took place as the children were being led back to class after their morning exercise. The victims were taken to hospital while guards and staff at the kindergarten apprehended the attacker.,world,Woman stabs 14 kids at Chinese kindergarten. A woman on Friday stabbed 14 children with a kitchen knife at the gate of a kindergarten in China's southwestern city of Chongqing. The attack took place as the children were being led back to class after their morning exercise. The victims were taken to hospital while guards and staff at the kindergarten apprehended the attacker.,woman stab kid chinese kindergarten woman friday stab child kitchen knife gate kindergarten chinas southwestern city chongqing attack take place child lead back class morning exercise victim take hospital guard staff kindergarten apprehend attacker
Pakistan poses 3 times more terror risk than Syria: Think tank,"Pakistan remains a breeding ground and supporter of global terrorism and is responsible for three times the terror risk to humanity that Syria poses, according to a report by Mumbai-based think tank Strategic Foresight Group and Oxford University. The 'Humanity at Risk - Global Terror Threat Indicant' states that jihadi thought processes began in what is today Pakistan.",world,"Pakistan poses 3 times more terror risk than Syria: Think tank. Pakistan remains a breeding ground and supporter of global terrorism and is responsible for three times the terror risk to humanity that Syria poses, according to a report by Mumbai-based think tank Strategic Foresight Group and Oxford University. The 'Humanity at Risk - Global Terror Threat Indicant' states that jihadi thought processes began in what is today Pakistan.",pakistan pose time terror risk syria think tank pakistan remain breeding ground supporter global terrorism responsible three time terror risk humanity syria pose accord report mumbai base think tank strategic foresight group oxford university humanity risk global terror threat indicant state jihadi thought process begin today pakistan
Pak to send its 1st astronaut to space in 2022 with China's help,"Pakistan's Minister of Information and Broadcasting Fawad Chaudhry on Thursday said the country would send a Pakistani astronaut to space for the first time in 2022. An agreement between Pakistan's space agency SUPARCO and a Chinese company has already been signed, the Minister added. Earlier this year, Pakistan launched two indigenously built satellites into orbit, using a Chinese launch vehicle.",world,"Pak to send its 1st astronaut to space in 2022 with China's help. Pakistan's Minister of Information and Broadcasting Fawad Chaudhry on Thursday said the country would send a Pakistani astronaut to space for the first time in 2022. An agreement between Pakistan's space agency SUPARCO and a Chinese company has already been signed, the Minister added. Earlier this year, Pakistan launched two indigenously built satellites into orbit, using a Chinese launch vehicle.",pak send st astronaut space chinas help pakistan minister information broadcasting fawad chaudhry thursday say country would send pakistani astronaut space first time agreement pakistan space agency suparco chinese company already sign minister add earlier year pakistan launch two indigenously build satellite orbit use chinese launch vehicle
UK said Assange won't be extradited: Ecuador's top attorney,"The UK had said in August that WikiLeaks founder Julian Assange won't be extradited if he left the Ecuador's London embassy, Ecuador's top government attorney Iñigo Salvador has said. Assange sought asylum in Ecuador's London embassy in 2012 to avoid extradition to Sweden, where he was accused of multiple sexual assaults. Sweden had dropped the charges against Assange last year.",world,"UK said Assange won't be extradited: Ecuador's top attorney. The UK had said in August that WikiLeaks founder Julian Assange won't be extradited if he left the Ecuador's London embassy, Ecuador's top government attorney Iñigo Salvador has said. Assange sought asylum in Ecuador's London embassy in 2012 to avoid extradition to Sweden, where he was accused of multiple sexual assaults. Sweden had dropped the charges against Assange last year.",uk say assange not extradite ecuador top attorney uk say august wikileaks founder julian assange not extradite leave ecuador london embassy ecuador top government attorney inigo salvador say assange seek asylum ecuadors london embassy avoid extradition sweden accuse multiple sexual assault sweden drop charge assange last year
Trump appoints Indian-American as US energy regulator head,"US President Donald Trump has appointed Neil Chatterjee as the Chairman of the Federal Energy Regulatory Commission (FERC) which oversees electricity transmission and interstate natural gas pipelines and facilities. Chatterjee, a Republican from the state of Kentucky, is currently serving as a Commissioner of the FERC. His parents had moved to the US from Kolkata around 50 years ago.",world,"Trump appoints Indian-American as US energy regulator head. US President Donald Trump has appointed Neil Chatterjee as the Chairman of the Federal Energy Regulatory Commission (FERC) which oversees electricity transmission and interstate natural gas pipelines and facilities. Chatterjee, a Republican from the state of Kentucky, is currently serving as a Commissioner of the FERC. His parents had moved to the US from Kolkata around 50 years ago.",trump appoint indian american us energy regulator head us president donald trump appoint neil chatterjee chairman federal energy regulatory commission ferc oversee electricity transmission interstate natural gas pipeline facility chatterjee republican state kentucky currently serve commissioner ferc parent move us kolkata around year ago
UK apologises for forcing DNA tests on immigrants,UK's Home Secretary Sajid Javid has apologised to the immigrants forced to provide DNA samples as part of visa applications. Gurkha soldiers and Afghan nationals who worked for the UK government were among those asked to provide DNA. People seeking to live in the UK can provide DNA on a voluntary basis to prove a relationship to support an application.,world,UK apologises for forcing DNA tests on immigrants. UK's Home Secretary Sajid Javid has apologised to the immigrants forced to provide DNA samples as part of visa applications. Gurkha soldiers and Afghan nationals who worked for the UK government were among those asked to provide DNA. People seeking to live in the UK can provide DNA on a voluntary basis to prove a relationship to support an application.,uk apologise force dna test immigrant uks home secretary sajid javid apologise immigrant force provide dna sample part visa application gurkha soldier afghan national work uk government among ask provide dna people seek live uk provide dna voluntary basis prove relationship support application
